turnausvaihe;kotijoukkue;vierasjoukkue;maalit_koti;maalit_vieras;fifa_koti;fifa_vieras;maaliero;fifaerotus
1;Alkulohko;Sveitsi;Tshekki;0;1;644;1246;-1;-602
2;Alkulohko;Portugali;Turkki;2;0;1094;877;2;217
3;Alkulohko;Itävalta;Kroatia;0;1;341;1017;-1;-676
4;Alkulohko;Saksa;Puola;2;0;1274;805;2;469
5;Alkulohko;Romania;Ranska;0;0;1069;1143;0;-74
6;Alkulohko;Hollanti;Italia;3;0;1111;1424;3;-313
7;Alkulohko;Espanja;Venaja;4;1;1303;846;3;457
8;Alkulohko;Kreikka;Ruotsi;0;2;1133;799;-2;334
9;Alkulohko;Tshekki;Portugali;1;3;1246;1094;-2;152
10;Alkulohko;Sveitsi;Turkki;1;2;644;877;-1;-233
11;Alkulohko;Kroatia;Saksa;2;1;1017;1274;1;-257
12;Alkulohko;Itävalta;Puola;1;1;341;805;0;-464
13;Alkulohko;Italia;Romania;1;1;1424;1069;0;355
14;Alkulohko;Hollanti;Ranska;4;1;1111;1143;3;-32
15;Alkulohko;Ruotsi;Espanja;1;2;799;1303;-1;-504
16;Alkulohko;Kreikka;Venaja;0;1;1133;846;-1;287
17;Alkulohko;Sveitsi;Portugali;2;0;644;1094;2;-450
18;Alkulohko;Turkki;Tshekki;3;2;877;1246;1;-369
19;Alkulohko;Puola;Kroatia;0;1;805;1017;-1;-212
20;Alkulohko;Itävalta;Saksa;0;1;341;1274;-1;-933
21;Alkulohko;Hollanti;Romania;2;0;1111;1069;2;42
22;Alkulohko;Ranska;Italia;0;2;1143;1424;-2;-281
23;Alkulohko;Kreikka;Espanja;1;2;1133;1303;-1;-170
24;Alkulohko;Venaja;Ruotsi;2;0;846;799;2;47
25;Puolivaliera;Portugali;Saksa;2;3;1094;1274;-1;-180
26;Puolivaliera;Kroatia;Turkki;1;1;1017;877;0;140
27;Puolivaliera;Hollanti;Venaja;1;3;1111;846;-2;265
28;Puolivaliera;Espanja;Italia;0;0;1303;1424;0;-121
29;Valiera;Saksa;Turkki;3;2;1274;877;1;397
30;Valiera;Venaja;Espanja;0;3;846;1303;-3;-457
31;Finaali;Saksa;Espanja;0;1;1274;1303;-1;-29
