"awayteam";"year";"hometeam";"phase";"goals_home";"goals_away";"fifa_home";"fifa_away";"goal_diff";"fifa_diff";"homeq_goals_scored";"homeq_goals_against";"homeq_offsides";"homeq_corners";"homeq_avrg_ontarget";"homeq_avrg_offtarget";"awayq_goals_scored";"awayq_goals_against";"awayq_offsides";"awayq_corners";"awayq_avrg_ontarget";"awayq_avrg_offtarget";"outcome"
"Republic of Ireland";2012;"Spain";"Alkulohko";4;0;1456;907;4;549;26;6;24;70;"10.75";"7.38";20;8;27;42;"4.75";"4";"win"
"Republic of Ireland";2012;"Italy";"Alkulohko";2;0;977;907;2;70;17;2;34;50;"6";"4.8";20;8;27;42;"4.75";"4";"win"
"Romania";2008;"Netherlands";"Alkulohko";2;0;1111;1069;2;42;15;5;26;81;"7.75";"6.42";26;7;36;65;"5.58";"4.42";"win"
"Romania";2008;"Italy";"Alkulohko";1;1;1424;1069;0;355;22;9;35;59;"6.58";"4.75";26;7;36;65;"5.58";"4.42";"draw"
"Russia";2008;"Netherlands";"Puolivaliera";1;3;1111;846;-2;265;15;5;26;81;"7.75";"6.42";18;7;29;70;"5.75";"5.67";"loss"
"Russia";2008;"Greece";"Alkulohko";0;1;1133;846;-1;287;25;10;25;56;"5.25";"3.67";18;7;29;70;"5.75";"5.67";"loss"
"Russia";2008;"Spain";"Alkulohko";4;1;1303;846;3;457;23;8;33;110;"6.58";"6.5";18;7;29;70;"5.75";"5.67";"win"
"Russia";2012;"Poland";"Alkulohko";1;1;518;975;0;-457;NA;NA;NA;NA;NA;NA;17;4;27;69;"5.9";"7.3";"draw"
"Russia";2012;"Greece";"Alkulohko";1;0;953;975;1;-22;14;5;29;52;"5.4";"6.3";17;4;27;69;"5.9";"7.3";"win"
"Spain";2008;"Germany";"Finaali";0;1;1274;1303;-1;-29;35;7;24;87;"7.58";"7.42";23;8;33;110;"6.58";"6.5";"loss"
"Spain";2008;"Sweden";"Alkulohko";1;2;799;1303;-1;-504;23;12;41;65;"5.75";"4.17";23;8;33;110;"6.58";"6.5";"loss"
"Spain";2008;"Russia";"Valiera";0;3;846;1303;-3;-457;18;7;29;70;"5.75";"5.67";23;8;33;110;"6.58";"6.5";"loss"
"Spain";2008;"Greece";"Alkulohko";1;2;1133;1303;-1;-170;25;10;25;56;"5.25";"3.67";23;8;33;110;"6.58";"6.5";"loss"
"Spain";2012;"Portugal";"Valiera";0;0;996;1456;0;-460;27;14;25;81;"7.9";"8.1";26;6;24;70;"10.75";"7.38";"draw"
"Spain";2012;"Croatia";"Alkulohko";0;1;1053;1456;-1;-403;21;7;12;86;"7";"6.5";26;6;24;70;"10.75";"7.38";"loss"
"Sweden";2008;"Russia";"Alkulohko";2;0;846;799;2;47;18;7;29;70;"5.75";"5.67";23;12;41;65;"5.75";"4.17";"win"
"Sweden";2008;"Greece";"Alkulohko";0;2;1133;799;-2;334;25;10;25;56;"5.25";"3.67";23;12;41;65;"5.75";"4.17";"loss"
"Sweden";2012;"Ukraine";"Alkulohko";2;1;572;910;1;-338;NA;NA;NA;NA;NA;NA;31;11;24;64;"7.7";"7.9";"win"
"Turkey";2008;"Switzerland";"Alkulohko";1;2;644;877;-1;-233;NA;NA;NA;NA;NA;NA;25;11;23;67;"5.25";"4.67";"loss"
"Turkey";2008;"Portugal";"Alkulohko";2;0;1094;877;2;217;24;10;28;103;"7.21";"8";25;11;23;67;"5.25";"4.67";"win"
"Turkey";2008;"Germany";"Valiera";3;2;1274;877;1;397;35;7;24;87;"7.58";"7.42";25;11;23;67;"5.25";"4.67";"win"
"Turkey";2008;"Croatia";"Puolivaliera";1;1;1017;877;0;140;28;8;26;63;"5.75";"5";25;11;23;67;"5.25";"4.67";"draw"
"Ukraine";2012;"England";"Alkulohko";1;0;1145;572;1;573;17;5;23;43;"4.75";"5.62";NA;NA;NA;NA;NA;NA;"win"
