Team	GS	GA	YC	RC	ON	OF	CO	FC
GermanyGermany	35	7	15	0	91	24	87	115
SpainSpain	23	8	20	1	79	33	110	85
RussiaRussia	18	7	15	2	69	29	70	139
TurkeyTurkey	25	11	17	0	63	23	67	140
CroatiaCroatia	28	8	7	0	69	26	63	127
ItalyItaly	22	9	17	0	79	35	59	120
NetherlandsNetherlands	15	5	20	0	93	26	81	162
PortugalPortugal	24	10	24	2	101	28	103	169
Czech RepublicCzech Republic	27	5	14	0	85	35	86	187
FranceFrance	25	5	8	0	86	25	80	118
GreeceGreece	25	10	21	0	63	25	56	105
RomaniaRomania	26	7	29	2	67	36	65	162
SwedenSweden	23	12	18	0	69	41	65	139
PolandPoland	24	12	19	1	80	20	61	148
AlbaniaAlbania	12	18	33	3	48	26	48	123
AndorraAndorra	2	42	39	3	10	14	11	152
ArmeniaArmenia	4	13	25	1	31	26	40	128
AzerbaijanAzerbaijan	6	28	30	2	29	24	41	131
BelarusBelarus	17	23	21	1	53	26	65	123
Bosnia and HerzegovinaBosnia and Herzegovina	16	22	27	3	56	14	51	164
BulgariaBulgaria	18	7	22	0	69	42	73	142
CyprusCyprus	17	24	24	2	68	30	58	195
DenmarkDenmark	24	11	16	2	71	21	79	130
EnglandEngland	24	7	17	0	75	36	61	162
EstoniaEstonia	5	21	22	3	40	21	50	190
Faroe IslandsFaroe Islands	4	43	17	1	27	7	24	104
FYR MacedoniaFYR Macedonia	12	12	20	1	41	39	58	191
GeorgiaGeorgia	16	19	29	1	46	16	55	107
HungaryHungary	11	22	23	2	54	27	70	182
IcelandIceland	10	27	24	0	41	22	44	151
IsraelIsrael	20	12	29	0	45	34	43	150
LatviaLatvia	15	17	23	0	52	27	52	146
LiechtensteinLiechtenstein	9	32	23	0	42	21	25	146
LithuaniaLithuania	11	13	27	0	57	16	49	136
LuxembourgLuxembourg	2	23	22	0	23	16	25	104
MaltaMalta	10	31	26	3	36	15	31	104
MoldovaMoldova	12	19	30	3	44	25	38	169
Northern IrelandNorthern Ireland	17	14	21	0	51	46	66	155
NorwayNorway	27	11	16	0	67	27	90	184
Republic of IrelandRepublic of Ireland	17	14	19	2	52	21	82	163
San MarinoSan Marino	2	57	31	3	19	12	17	159
ScotlandScotland	21	12	27	1	59	24	56	203
SlovakiaSlovakia	33	23	23	0	78	25	90	169
SloveniaSlovenia	9	16	30	2	36	26	29	181
UkraineUkraine	18	16	17	0	82	22	59	115
WalesWales	18	19	19	0	64	51	81	147
BelgiumBelgium	14	16	29	2	62	24	69	152
FinlandFinland	13	7	22	0	66	48	71	199
KazakhstanKazakhstan	11	21	25	1	44	24	40	134
SerbiaSerbia	22	11	33	2	92	30	69	158
