Team	GS	GA	YC	RC	ON	OF	CO	FC
ItalyItaly	6	7	16	0	61	16	30	89
SpainSpain	12	1	11	0	58	21	43	81
GermanyGermany	10	6	4	0	41	12	34	49
PortugalPortugal	6	4	12	0	35	10	41	91
Czech RepublicCzech Republic	4	6	7	0	20	8	21	74
EnglandEngland	5	3	5	0	19	6	16	45
FranceFrance	3	5	6	0	37	5	28	51
GreeceGreece	5	7	11	1	15	12	10	48
CroatiaCroatia	4	3	9	0	20	2	14	61
DenmarkDenmark	4	5	4	0	20	8	16	38
NetherlandsNetherlands	2	5	5	0	19	3	22	31
PolandPoland	2	3	7	1	20	3	14	56
Republic of IrelandRepublic of Ireland	1	9	8	1	11	10	8	51
RussiaRussia	5	3	6	0	20	4	21	40
SwedenSweden	5	5	7	0	21	7	7	51
UkraineUkraine	2	4	5	0	12	4	18	31
